,Close,High,Low,Open,Volume,SharesOutstanding,MarketCap
2000-02-08,23.856523513793945,23.887667800365477,23.12463277936293,23.42050350179249,6787800,2355040000.0,56183067135.92529
2000-02-09,23.420501708984375,23.88766597179656,23.358213140609415,23.731944550859165,6255800,2355040000.0,55156218344.72656
2000-02-10,22.78204345703125,23.591794830760318,22.439456337376644,23.358212703723087,5267800,2355040000.0,53652623623.046875
2000-02-11,23.35821533203125,23.404931762695313,22.750901733398436,22.750901733398436,5335000,2355040000.0,55009531435.546875
2000-02-14,22.89105224609375,23.37378872203178,22.673042224702378,23.342644433261583,5252200,2355040000.0,53909343681.640625
2000-02-15,23.856523513793945,23.87209565707971,22.9533392032195,23.046772062934096,6864000,2355040000.0,56183067135.92529
2000-02-16,23.432188034057617,23.981106211961276,23.17135457363531,23.87210118372509,5314600,2355040000.0,55183740107.72705
2000-02-17,23.46722984313965,23.669667791355185,23.17135899574771,23.420513393551445,4682400,2355040000.0,55266264969.7876
2000-02-18,23.33096694946289,23.52951180419718,22.92219813089229,23.373790349503622,4651600,2355040000.0,54945360404.663086
2000-02-22,23.14020538330078,23.28035467566263,22.43945892149154,23.000056090938934,5226800,2355040000.0,54496109285.88867
2000-02-23,22.579607009887695,23.140204149443527,22.45502986776418,23.140204149443527,5357000,2355040000.0,53175877692.56592
2000-02-24,22.05015754699707,22.641899063088797,21.5674210470275,22.51732190180633,7223200,2355040000.0,51929003029.47998
2000-02-25,21.209266662597656,22.174739888060987,21.209266662597656,22.112451292869803,7177200,2355040000.0,49948671361.083984
2000-02-28,22.019014358520508,22.42389015294875,21.17811847778493,21.38055637499905,7081600,2355040000.0,51855659574.89014
2000-02-29,21.89443588256836,22.39274452285441,21.738714432478968,22.299311652800778,6661800,2355040000.0,51562272280.88379
2000-03-01,21.987873077392578,22.096878113895233,21.645285819812806,21.925584485105347,4153600,2355040000.0,51782320612.18262
2000-03-02,21.754291534423828,22.034590208453626,21.59857004885172,21.925585168553148,3565800,2355040000.0,51232226735.22949
2000-03-03,22.03458023071289,22.377167343840583,21.676420976079395,21.87885881565485,4902200,2355040000.0,51892317826.538086
2000-03-06,21.78543472290039,22.034589087136563,21.5829968019585,22.019016939371802,3668600,2355040000.0,51305570189.819336
2000-03-07,15.198412895202637,18.032543168693294,14.26408423361231,14.450949965930377,137287200,2355040000.0,35792870304.71802
